ID,PARAM,TYPE,Year,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM,Mean
10LC014,2,8,2017,,,,,,,,,,,5.888,,5.532,,4.452,,3.763,,3.490,,3.866,,3.687,,
10LC014,2,8,2018,3.614,,3.416,,3.177,,3.066,,7.025,,5.274,,5.482,,4.507,,3.906,,3.077,,3.920,,,,
10LC014,2,8,2019,3.711,,3.446,,3.117,,3.315,,,,4.821,,4.379,,4.258,,3.995,,3.508,,,,3.960,,
10LC015,2,8,2011,,,,,,,,,,,4.708,,4.508,,4.000,,3.341,,2.784,,,,,,
10LC015,2,8,2012,22.473,,22.854,,22.677,,23.243,,,,,,,,,,,,2.861,,2.899,,,,
10LC015,2,8,2013,,,,,,,,,,,,,4.520,,,,,,,,,,,,
10LC015,2,8,2014,,,,,,,,,,,4.846,,4.157,,3.263,,2.704,,2.673,,2.294,,2.118,,
10LC015,2,8,2015,2.338,,2.319,,2.303,,2.359,,5.848,,3.903,,3.403,,3.430,,3.525,,2.757,,2.843,,2.338,,3.120
10LC015,2,8,2016,,,,,,,,,,,4.403,,,,3.361,,3.380,,2.889,,3.021,,2.097,,
10LC015,2,8,2017,2.418,,2.391,,2.345,,2.412,,5.825,,4.661,,4.255,,3.417,,2.886,,2.633,,2.761,,2.387,,3.206
10LC015,2,8,2018,2.428,,2.401,,2.322,,,,5.500,,4.343,,4.323,,3.566,,3.029,,,,,,,,
10LD001,2,8,2011,,,,,,,,,,,,,4.775,,3.941,,2.810,,,,,,,,
10LD001,2,8,2012,,,,,,,,,,,,,4.211,,2.741,,2.723,,,,,,,,
10LD001,2,8,2013,,,,,,,,,,,,,4.637,,3.547,,2.710,,2.038,,,,,,
10LD001,2,8,2014,,,,,,,,,,,,,4.288,,2.507,,1.381,,,,,,,,
10LD001,2,8,2015,,,,,,,,,,,,,2.891,,2.889,,2.385,,1.415,,,,,,
10LD001,2,8,2016,,,,,,,,,,,4.638,,3.960,,2.491,,2.748,,,,,,,,
10LD001,2,8,2017,,,,,,,,,,,5.039,,4.804,,,,1.954,,1.269,,,,,,
10LD001,2,8,2018,,,,,,,,,,,4.181,,4.536,,,,,,0.694,,,,,,
10LD001,2,8,2019,,,,,,,,,,,,,2.989,,,,2.267,,,,,,,,
10LD001,2,8,2020,,,,,,,,,,,,,,,5.986,,5.455,,,,,,,,
10LD001,2,8,2021,,,,,,,,,,,,,5.774,,4.706,,3.933,,,,,,,,
10LD001,2,8,2022,,,,,,,,,,,7.963,,5.955,,3.882,,2.420,,,,,,,,
10LD001,2,8,2023,,,,,,,,,,,3.880,,2.843,,1.960,,,,,,,,,,
10GC001,1,1,2011,2490,,2320,,2270,,2800,,10400,,13500,,11800,,10100,,8690,,7150,,3960,,4310,,6670
10GC001,1,1,2012,3700,,3240,,2830,,2920,,10200,,18400,,11500,,8590,,7800,,6920,,3880,,4170,,7020
10GC001,1,1,2013,3420,,3240,,3200,,3320,,11300,,16000,,12000,,9990,,8530,,7820,,4280,,3810,,7270
10GC001,1,1,2014,3150,,3030,,2710,,2910,,11300,,13800,,11900,,7510,,6550,,6280,,3430,,2860,,6310
10GC001,1,1,2015,2770,,2670,,2500,,3460,,10500,,9900,,7970,,7720,,6740,,6290,,3390,,2800,,5580
10GC001,1,1,2016,2580,,2500,,2510,,,,,,,,,,,,,,,,,,,,
10GC001,1,1,2017,2720,,2990,,2980,,3700,,11100,,13900,,12900,,8880,,7130,,6780,,3840,,3240,,6710
10GC001,1,1,2018,3230,,3020,,2940,,3070,,11500,,12700,,12100,,8670,,7300,,6160,,3320,,2930,,6440
10GC001,1,1,2019,3110,,2910,,2750,,4380,,7650,,10800,,9230,,8330,,7900,,7280,,3440,,3310,,5940
10GC001,1,1,2020,3050,,2970,,2930,,3360,,12400,,18900,,18100,,16300,,15000,,11100,,6500,,3790,,9560
10GC001,1,1,2021,4310,,4250,,4280,,5480,,15500,,19800,,16200,,13200,,11500,,9400,,6390,,3000,,9470
10GC001,1,1,2022,3010,,2910,,3170,,3450,,15900,,22300,,16100,,11500,,8490,,7320,,3320,,2950,,8400
10GC001,1,1,2023,2620,,2330,,2270,,3070,,10600,,9800,,8520,,7410,,5750,,5380,,3600,,2690,,5360
10GC001,2,8,2011,4.079,,3.655,,3.463,,3.807,,6.399,,7.033,,6.486,,5.930,,5.444,,4.821,,4.419,,6.228,,5.159
10GC001,2,8,2012,5.385,,4.841,,4.434,,4.456,,,,8.374,,6.401,,5.412,,5.098,,4.712,,4.553,,6.437,,
